Date,Open,High,Low,Close,Volume
2013-12-11,9072.0,9116.0,9061.0,9096.0,7274.0
2013-12-10,9164.0,9170.0,9072.0,9072.0,9771.0
2013-12-09,9160.0,9177.0,9130.0,9164.0,7852.0
2013-12-08,9178.0,9180.0,9160.0,9175.0,1927.0
2013-12-05,9123.0,9125.0,9070.0,9096.0,17864.0
2013-12-04,9206.0,9216.0,9068.0,9123.0,11979.0
2013-12-03,9370.0,9351.0,9229.0,9242.0,12808.0
2013-12-02,9414.0,9414.0,9340.0,9370.0,10459.0
2013-12-01,9409.0,9420.0,9393.0,9414.0,5354.0
2013-11-28,9337.0,9357.0,9323.0,9344.0,12603.0
2013-11-27,9300.0,9310.0,9260.0,9277.0,10139.0
2013-11-26,9259.0,9280.0,9254.0,9261.0,5877.0
2013-11-25,9210.0,9275.0,9208.0,9259.0,15089.0
2013-11-24,9230.0,9230.0,9190.0,9210.0,1545.0
2013-11-21,9139.0,9161.0,9088.0,9160.0,5872.0
2013-11-20,9140.0,9165.0,9128.0,9139.0,8588.0
2013-11-19,9173.0,9161.0,9137.0,9161.0,3695.0
2013-11-18,9178.0,9197.0,9105.0,9173.0,9075.0
2013-11-17,9109.0,9183.0,9109.0,9178.0,768.0
2013-11-14,8958.0,9094.0,9060.0,9074.0,3542.0
2013-11-13,9040.0,9024.0,8946.0,8958.0,5584.0
2013-11-12,9052.0,9083.0,9035.0,9040.0,5661.0
2013-11-11,9053.0,9072.0,9021.0,9060.0,9959.0
2013-11-10,9051.0,9100.0,9080.0,9094.0,494.0
2013-11-07,9005.0,9130.0,8996.0,9051.0,9870.0
2013-11-06,8947.0,9021.0,8992.0,9005.0,8444.0
2013-11-05,9001.0,9003.0,8943.0,8947.0,7689.0
2013-11-04,9000.0,9008.0,8981.0,9001.0,18953.0
2013-11-03,9018.0,9031.0,8965.0,8975.0,1887.0
2013-10-31,8974.0,8987.0,8937.0,8980.0,5018.0
2013-10-30,8954.0,9017.0,8970.0,8974.0,3200.0
2013-10-29,8930.0,8964.0,8930.0,8954.0,2785.0
2013-10-28,8975.0,8978.0,8924.0,8930.0,14941.0
2013-10-27,8985.0,8985.0,8920.0,8933.0,884.0
2013-10-24,8871.0,8946.0,8913.0,8922.0,5741.0
2013-10-23,8870.0,8879.0,8861.0,8871.0,4376.0
2013-10-22,8824.0,8958.0,8808.0,8870.0,6893.0
2013-10-21,8816.0,8825.0,8805.0,8824.0,11472.0
2013-10-17,8751.0,8783.0,8737.0,8763.0,5157.0
